,Region,Songs
0,ee,"['Devuelveme', 'Nei, nei, ekki um jólin', 'Sieben Intro', 'Papa Trabaja', 'Would I Lie to You', 'Ból', 'SOLO', ""Rhythm n' Flouz"", 'Køb Bananer - Remastret', 'Nog Steeds']"
1,cr,"['Rica', 'Bien Duro', 'Silhouettes - Original Radio Edit', '原宿いやほい', 'Coolant - Remix', 'Aicha', 'wine slow - Remix', 'Waterloo', 'Girlfriend (feat. Dâm-Funk)', 'Alleluja']"
2,pt,"['Ritmo Mexicano', 'Limonada Coco - Remix', 'Slecht Blijft (Bonus)', 'Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.)', 'Love Me Like', 'Afhverju', 'Rich Love (with Seeb)', 'BAAM', 'Por Una Vez Más', 'Lionne']"
3,gr,"['Fear for Nobody', 'Yhen elämän juttu', 'Ai Ai Ai', 'Slap Af', '1999', 'Pompom', 'Louca de Saudade - Ao Vivo', 'Bye, Bye, Bye', 'De Værste Bedste År', 'Maradona (kesä ´86) [Vain elämää kausi 9]']"
4,br,"['Geen Seconde Rust', 'Qui dit mieux (feat. Orelsan, Vald & Suikon Blaz AD)', 'Auto Pilot', 'Martelli', 'Need for Speed', 'Goodbye To Love', 'Waterfall', 'Oder nicht', 'Jantelov', 'Rahan takii']"
5,es,"['Kontrollieren', 'What You Want', 'Migraine', 'Llamame Mas Temprano', 'TOO MUCH', 'Volg Mij', 'Jantelov', 'Tip Toe (feat. French Montana)', 'Hubba Bubba', 'Gjynah']"
6,lu,"['Juna', 'LA CRIMINAL', 'Che ne sai', 'Livet Er For Kort', 'Mundo de Ilusões - Ao Vivo', 'I Found You (with Calvin Harris)', 'Mi No Lob', 'Strapped', 'Baba Flow', 'Je Gaat Zo Dik']"
7,ca,"['Kan Niet Kiezen', 'Kruunu tikittää (feat.TIPPA)', 'X - Remix', 'Tää On Se Maa', 'Te Gusta Hacerla', 'Carnavalintro', 'Cosa Nostra', 'Quien Sabe', 'Bedroom Warfare', 'Chico']"
8,id,"['Never Let Me Go', 'Range', 'Destiny', 'Oh La La - Titelsong Van De Film ‘Bon Bini Holland 2’', 'Árabe', 'Koe', 'Trumpets', 'Já convenci - Ao vivo', 'Kesäyön Uni', ""D'estate non vale (feat. Ana Mena)""]"
9,lt,"['Mi No Lob', 'Brr Brr', 'One Life', 'Le Encanta', 'Vuoden Mies', 'Plan B', 'Ora mai', 'Primo', 'One Time', 'Growing Pains']"
10,fr,"[""I Don't Dance (Without You) [feat. Konshens]"", 'Vekk meg opp', 'Una Vita In Vacanza', 'Kind Van De Duivel', 'Envolvimento', 'Shape of You (Latin Remix) [feat. Zion & Lennox]', 'Sexo (feat. iLe)', 'Stilen Lagt', 'Noche Complicada', 'Natura']"
11,my,"['Dale Vieja Dale', 'Karhun kaato', 'Farlig', 'OK', 'EWA', 'Milionario', 'Tú Me Obligaste', 'Gedrag', 'Rodena takava', ""T'as tout gagné""]"
12,ie,"['Kim Jong Un', 'Disturbia', 'Sucker for You', 'Mistä Loma Loma', 'Forever Young', 'MOVE TO MIAMI', 'Ne è valsa la pena (feat. Ghali)', 'Voy a Bailar (feat. Boef & Rolf Sanchez)', 'Det Var Inga, Katinka Og Smukke Charley På Sin Harley', 'Ligesom Mig']"
13,ar,"['Adiós', ""This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners"", 'Video Games', 'Pollo y Conejo', 'Wann dann', 'Non stop', 'Work from Home (feat. Ty Dolla $ign)', 'Doble Filo', 'UPP', 'Autodestrucción']"
14,gb,"['Chambea', 'Ellie', 'Posto 24h (feat. Wesley Safadão) - Ao Vivo', 'Esfrega Esfrega', 'Aztmj (feat. Robin Zoot)', ""Ammo' (feat. Rocco Hunt & Clementino)"", 'Ojitos Hechiceros', 'Mario Cart', 'Johnny Belt', 'Sim ou não (Participação especial Maluma)']"
15,nz,"['Stamp on the Ground - Radio Edit', 'Andas En Mi Cabeza', 'Yuck', 'Vistas Nekad Nebūs Pirmās', 'Mistä Loma Loma', 'Malibu (feat. Gemitaiz)', 'Por Pura Curiosidad', 'Savage', 'Toy', 'Si tu savais']"
16,dk,"['Toccata (feat. Mogli)', 'Yodel it!', 'Matti & Teppo', 'Hengaillaan tää yö', 'Comas y Ceros', 'Pas le choix', 'Makia', '100', 'Dimelo', 'Acqua Fiji']"
17,jp,"['Se Ei Kuulu Sulle', 'Tot Sluit', 'Djadja (feat. Loredana) - Remix', 'Bad (feat. Yungen, MoStack, Mr Eazi & Not3s)', 'Fiji', 'El Anillo', 'Wild', 'Navidad, Navidad', 'Joku päivä töitä teen (feat. Pepe Willberg)', 'Tant pis']"
18,nl,"['愛を伝えたいだとか', ""Chasse à l'homme"", 'Ice Melts', 'Koala', 'Morirò da Re', 'El Gil de Tu Ex', 'Taking Off', 'FRIENDS (feat. kiLL edward)', 'Nälkä', 'No Quiero Amarte (feat. Zion & Lennox)']"
19,de,"['Un domani (feat. Mr.Rain)', 'Sinä ansaitset kultaa (Vain elämää kausi 7)', 'Dicen', 'Mirror', 'Diamenty', 'I Found You (with Calvin Harris)', 'Whine Up', 'RAP DEVIL', 'Katumuksen sakramentti', '4th Dimension']"
20,cz,"['Stacks', 'Ballin', 'WONDO', 'Djadja (feat. Loredana) - Remix', 'Imma Fly Chick', 'So High', 'Se é pra Gente Ficar', 'Dynamite (feat. Pretty Sister)', 'Breaking The Habit', 'Kikadinha']"
21,is,"['Cuando Te Besé', 'Mort de rire', 'Cambiare Adesso', 'POSITIE', '47 AK', 'Hollywood (feat. Gemitaiz)', 'Zoutelande (feat. Geike)', 'Kangoeroe', 'I Love It (feat. Charli XCX)', 'Growing Pains']"
22,hn,"['Vauvoja', 'Tints (feat. Kendrick Lamar)', 'Ando buscando (feat. Piso 21)', 'Close to the Top', 'Dance For Me', 'Valentino Camouflage', 'She Gon Wink', 'Rakas Spektistan', 'Empire', 'Juna']"
23,gt,"['Juodaan viinaa (feat. LEO)', ""Mon pays, c'est l'amour"", 'Cash', 'UFF', 'Niet Alleen', 'Rápido, Brusco, Violento', 'Veneno', 'Minä sinua vaan (Vain elämää kausi 7)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Хайвера']"
24,at,"['Comunisti col Rolex', 'Money Bag', '10 Jahre', 'Trivia 起 : Just Dance', 'Banken 2018', 'Love$ick', 'Faija', 'Paniikki', 'Heat', 'Johnny Belt']"
25,hu,"['Pompen', 'Op Je Hoede', 'Bendero', 'La Chama', 'Bajito', 'Pleintjes', 'Défaite de famille', 'Sin Contrato', '#Natural', 'Débrouillard']"
26,hk,"['Samoil Silmillä', 'Katchi - Ofenbach vs. Nick Waterhouse', 'Chabos wissen wer der Babo ist (feat. Nimo, Luciano, Soufian, Eno) - Young Babos Remix', 'Art-B', 'Stereo Love - Radio Edit', 'MAGIC', 'Splash', 'Roku Okeāns', 'Tu Maldita Madre (Remix)', 'RERUN (feat. Travis Scott)']"
27,bg,"['Seeka', 'Find You', 'Shaky Shaky', 'Que Va', 'Davide (feat. Coez)', 'Tant pis', 'Savage', 'Skiptir Mig Máli', 'Sugardaddy', 'ノーダウト']"
28,bo,"['Testarossa', 'Chovendo Inimigo', 'Bar Sig Til', 'Water Under the Bridge', 'No Llores', 'Con Silenciador', 'Pitkät päällä', 'Monaco', 'Dress Code', 'Rakas Spektistan']"
29,us,"['Erootika Pood', 'Pirate', 'Arvon Leidit', ""T'es un marrant (feat. Sofiane)"", 'Eloon! - Vain Elämää Kausi 9', 'Papa Trabaja', 'Papercut', 'I Love It (feat. Charli XCX)', 'Justicia', 'Joutsenet']"
30,au,"['Kyyneleet - Vain Elämää Kausi 6', 'Blow It All', 'Slow Down', 'Kiitos kaikesta (Vain elämää kausi 6)', 'Under the Ladder', 'CSI', 'Casablanca', 'For Sent', 'Quien Sabe', 'Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)']"
31,lv,"['Sex Tape', 'La Bicicleta', 'Sinds Nen Dag Of 2 (38 Jaar)', 'Amor y dolor', 'Big Bank', 'Qué Gano Olvidándote - Versión Urbana', 'Loca (feat. Cali Y El Dandee)', 'Friend Of Mine (feat. Vargas & Lagola)', 'Goodbye To Love', 'Lush Life']"
32,ec,"['Lo Malo - Remix', 'Bedroom Warfare', 'Mannaggia', 'Bad', 'CC', 'Nössö', 'Perutaan Häät - Vain Elämää Kausi 9', 'Ce soir (feat. Alonzo)', 'Not Going Home', 'Jodel']"
33,do,"['Number One', 'Gatebarna 2018', 'Bon appétit', 'Rollin', 'TELÉFONO - Remix', 'Palmen aus Plastik', 'Hanuri (feat. Boyat)', 'Beamer Boy', 'Evoluatie', 'Lost In Japan - Remix']"
34,no,"['Pesadão (Participação especial Marcelo Falcão)', 'Arvon Leidit', 'LOSE IT (feat. Lil Baby)', 'Money Long', 'Ko Ko Bop', 'Mesa 8', 'Þriggja Rétta (feat. Herra Hnetusmjör)', 'Casa da Mãe Joana - Ao Vivo', 'Keinutaan (feat. VilleGalle)', 'Self-Made']"
35,py,"['Guersace', 'Anakin', 'Money Money (feat. Bollebof)', 'No Romantico (feat. si_el_bien)', 'En sun kaa (feat. Bizi)', 'Papa Trabaja', 'Carolina', 'Comme prévu', 'Zwischen Himmel & Hölle', 'Kind Van De Duivel']"
36,pe,"['Pumped Up', 'HANN (Alone)', 'Cambiare Adesso', 'Cronico', 'Sooner Or Later', 'The Return', 'Instruction', 'Timantit on ikuisia', 'Karhun kaato', 'In My Cabana']"
37,ch,"['Mr Skeng', 'Mas Flow Que Tu', 'BILLY', 'Cheerleader - Felix Jaehn Remix Radio Edit', 'W.L.G', 'Ignite (feat. SEUNGRI)', 'Again', 'WONDO', 'Amsterdam', 'Change My Heart']"
38,cl,"['Piso', 'Forever Young', '8 Days of Christmas - Live', 'Cartier', 'Got A Little Drunk', 'Mark Renton', 'A dix', 'Je Gaat Zo Dik', 'Under the Ladder', 'E.L.E.P.H.A.N.T - Bonus Track']"
39,pl,"['Ohne mein Team', 'Troca de Favor - Ao Vivo', 'Robarte un Beso', 'JAPAN', 'Terrain', 'Déjalo', 'Haciéndolo', 'En Pysty Lopettaa', 'Me Llamas (feat. Maluma) - Remix', 'Oh la la']"
40,pa,"['ball w/o you', 'Lemon', 'Sapequinha', 'Bad (feat. Yungen, MoStack, Mr Eazi & Not3s)', 'Leve', 'Tumbalatum', 'AMG2', 'Bibia Be Ye Ye', 'E Essa Boca Aí? - Ao Vivo', 'Find You']"
41,be,"['Comas y Ceros', 'Koldt Udenfor', 'De Pie', 'Le cose peggiori (feat. Nitro)', 'Silencio', 'Skaperen 2017', 'Running On Air', 'La Vie en Rose', 'Cesta', 'Majesty (with Labrinth & feat. Eminem)']"
42,fi,"['UPP', '20 bouteilles', 'Todo Va Estar Bien', 'DUELE EL CORAZON', 'Mic Check (feat. Salmo)', 'Hate', 'O Sol', 'A Lie', 'El Clavo - Remix', '一休さん']"
43,it,"['Two Princes - Radio Mix', 'Do Right', 'Bullet In A Gun', 'Да не питат', 'Så På', 'Si tu savais', 'Bufón', 'Mulkut - Vain Elämää Kausi 9', 'Devil in Me (feat. Joe Killington & Duane Harden)', 'No Romantico (feat. si_el_bien)']"
44,mt,"['Con Silenciador (feat. Anuel Aa)', 'Rubbin Off The Paint', 'Rolex', 'Epilogue', 'Baba Flow', 'Berre i natt', ""If I'm Lucky"", 'Nouvelle monnaie', 'Zeit ist Geld', 'Cuando Tú Quieras']"
45,ni,"['Cambiarme (feat. Stepz)', 'Papa Trabaja', 'Psiquiatra do Bumbum (Bumbum Endoidado)', 'Bedre End Din Eks', 'Hanga með mér', 'Hajat', 'Jakke', 'Disturbia', '8 Days of Christmas - Live', 'Trivia 承 : Love']"
46,co,"['Vivir Mi Vida', 'Eraser', 'Powerglide (feat. Juicy J)', 'Pull Up Game Strong', 'Gospel', 'Pourquoi tu forces', 'Jungle', 'DJ Pon La Plena De Danger', 'Buzina', 'Rockstar']"
47,mx,"['Niin Kuin Ennenkin', 'PIN', 'Le Encanta', ""De Lo Mina Pa' La Habana (feat. El B)"", 'Sit Mennää', 'Diskutieren?!', 'HLM ou Palace', 'Keinutaan (feat. VilleGalle)', 'All Stars', '100 Miles and Running (ft. Wale & John Lindahl)']"
