,Region,Track_Name,Rank,Artist,Cluster
1,gb,Shape of You,1,Ed Sheeran,0
2,gb,New Rules,2,Dua Lipa,0
3,gb,Unforgettable,3,French Montana,0
4,gb,Havana,4,Camila Cabello,1
5,gb,rockstar,5,Post Malone,3
6,gb,God's Plan,6,Drake,1
7,gb,Despacito - Remix,7,Luis Fonsi,0
8,gb,Shotgun,8,George Ezra,0
9,gb,One Kiss (with Dua Lipa),9,Calvin Harris,0
10,gb,Better Now,10,Post Malone,3
11,gb,Happier,11,Ed Sheeran,2
12,gb,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",12,Rudimental,3
13,gb,Castle on the Hill,13,Ed Sheeran,3
14,gb,Nice For What,14,Drake,0
15,gb,Symphony (feat. Zara Larsson),15,Clean Bandit,3
16,gb,Lucid Dreams,16,Juice WRLD,3
17,gb,Eastside (with Halsey & Khalid),17,benny blanco,1
18,gb,This Is Me,18,Keala Settle,3
19,gb,Perfect,19,Ed Sheeran,2
20,gb,In My Feelings,20,Drake,3
21,gb,Galway Girl,21,Ed Sheeran,0
22,gb,IDGAF,22,Dua Lipa,1
23,gb,Wild Thoughts (feat. Rihanna & Bryson Tiller),23,DJ Khaled,0
24,gb,FRIENDS,24,Marshmello,0
25,gb,Silence,25,Marshmello,3
26,gb,Mama,26,Jonas Blue,0
27,gb,SAD!,27,XXXTENTACION,1
28,gb,2002,28,Anne-Marie,0
29,gb,Promises (with Sam Smith),29,Calvin Harris,0
30,gb,I Fall Apart,30,Post Malone,3
31,gb,Taste (feat. Offset),31,Tyga,3
32,gb,no tears left to cry,32,Ariana Grande,3
33,gb,Barking,33,Ramz,1
34,gb,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",34,Calvin Harris,0
35,gb,You Don't Know Me - Radio Edit,35,Jax Jones,0
36,gb,Strip That Down,36,Liam Payne,1
37,gb,Let You Down,37,NF,0
38,gb,There's Nothing Holdin' Me Back,38,Shawn Mendes,0
39,gb,Swalla (feat. Nicki Minaj & Ty Dolla $ign),39,Jason Derulo,0
40,gb,Something Just Like This,40,The Chainsmokers,3
41,gb,I Like It,41,Cardi B,0
42,gb,River (feat. Ed Sheeran),42,Eminem,1
43,gb,Slide (feat. Frank Ocean & Migos),43,Calvin Harris,0
44,gb,Solo (feat. Demi Lovato),44,Clean Bandit,0
45,gb,SICKO MODE,45,Travis Scott,0
46,gb,Psycho (feat. Ty Dolla $ign),46,Post Malone,1
47,gb,Pretty Girl - Cheat Codes X CADE Remix,47,Maggie Lindemann,0
48,gb,Paradise,48,George Ezra,0
49,gb,Attention,49,Charlie Puth,0
50,gb,Anywhere,50,Rita Ora,0
51,gb,The Middle,51,Zedd,0
52,gb,Feel It Still,52,Portugal. The Man,0
53,gb,Solo Dance,53,Martin Jensen,0
54,gb,XO TOUR Llif3,54,Lil Uzi Vert,0
55,gb,Rise,55,Jonas Blue,3
56,gb,Did You See,56,J Hus,1
57,gb,Your Song,57,Rita Ora,0
58,gb,Freaky Friday (feat. Chris Brown),58,Lil Dicky,0
59,gb,If You're Over Me,59,Years & Years,0
60,gb,Dusk Till Dawn - Radio Edit,60,ZAYN,3
61,gb,Youngblood,61,5 Seconds of Summer,0
62,gb,All The Stars (with SZA),62,Kendrick Lamar,3
63,gb,I Miss You (feat. Julia Michaels),63,Clean Bandit,3
64,gb,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",64,DJ Khaled,3
65,gb,It Ain't Me (with Selena Gomez),65,Kygo,3
66,gb,Lonely Together (feat. Rita Ora),66,Avicii,3
67,gb,Girls Like You (feat. Cardi B),67,Maroon 5,3
68,gb,HUMBLE.,68,Kendrick Lamar,0
69,gb,Man's Not Hot,69,Big Shaq,0
70,gb,Came Here for Love,70,Sigala,0
71,gb,Bestie,71,Yungen,3
72,gb,Love Lies (with Normani),72,Khalid,3
73,gb,Touch,73,Little Mix,3
74,gb,Body (feat. brando),74,Loud Luxury,0
75,gb,Tip Toe (feat. French Montana),75,Jason Derulo,0
76,gb,17,76,MK,0
77,gb,Answerphone (feat. Yxng Bane),77,Banx & Ranx,0
78,gb,God is a woman,78,Ariana Grande,3
79,gb,Breathe,79,Jax Jones,0
80,gb,Paris,80,The Chainsmokers,3
81,gb,Jackie Chan,81,Tiësto,0
82,gb,Passionfruit,82,Drake,2
83,gb,2U (feat. Justin Bieber),83,David Guetta,3
84,gb,Lullaby,84,Sigala,0
85,gb,Call On Me - Ryan Riback Extended Remix,85,Starley,0
86,gb,Sorry Not Sorry,86,Demi Lovato,0
87,gb,Stay (with Alessia Cara),87,Zedd,0
88,gb,Finders Keepers,88,Mabel,0
89,gb,Funky Friday,89,Dave,1
90,gb,That's What I Like,90,Bruno Mars,0
91,gb,No Words,91,Dave,0
92,gb,Look Alive (feat. Drake),92,BlocBoy JB,1
93,gb,1-800-273-8255,93,Logic,1
94,gb,Electricity (with Dua Lipa),94,Silk City,3
95,gb,Scared to Be Lonely,95,Martin Garrix,3
96,gb,Reggaetón Lento (Remix),96,CNCO,0
97,gb,Wolves,97,Selena Gomez,0
98,gb,I'll Be There,98,Jess Glynne,3
99,gb,Congratulations,99,Post Malone,3
100,gb,Rewrite The Stars,100,Zac Efron,3
101,gb,In My Mind,101,Dynoro,3
102,gb,Let You Love Me,102,Rita Ora,0
103,gb,Bad Vibe,103,M.O,0
104,gb,No Brainer,104,DJ Khaled,0
105,gb,All I Want for Christmas Is You,105,Mariah Carey,3
106,gb,Mask Off,106,Future,1
107,gb,Mi Gente,107,J Balvin,0
108,gb,Friends (with BloodPop®),108,Justin Bieber,0
109,gb,Without Me,109,Halsey,1
110,gb,Questions,110,Chris Brown,1
111,gb,Hurtin' Me,111,Stefflon Don,3
112,gb,Woman Like Me (feat. Nicki Minaj),112,Little Mix,0
113,gb,Power (feat. Stormzy),113,Little Mix,3
114,gb,Shallow,114,Lady Gaga,3
115,gb,Slow Hands,115,Niall Horan,1
116,gb,ZEZE (feat. Travis Scott & Offset),116,Kodak Black,1
117,gb,I Love It (& Lil Pump),117,Kanye West,1
118,gb,Never Be the Same,118,Camila Cabello,3
119,gb,September Song,119,JP Cooper,3
120,gb,Finesse (Remix) [feat. Cardi B],120,Bruno Mars,0
121,gb,German,121,EO,1
122,gb,Crying in the Club,122,Camila Cabello,1
123,gb,Praise The Lord (Da Shine) (feat. Skepta),123,A$AP Rocky,1
124,gb,The Greatest Show,124,Hugh Jackman,3
125,gb,Human,125,Rag'n'Bone Man,1
126,gb,Rockabye (feat. Sean Paul & Anne-Marie),126,Clean Bandit,0
127,gb,Sunflower - Spider-Man: Into the Spider-Verse,127,Post Malone,1
128,gb,What Lovers Do (feat. SZA),128,Maroon 5,0
129,gb,Jumanji,129,B Young,1
130,gb,Last Christmas,130,Wham!,3
131,gb,breathin,131,Ariana Grande,3
132,gb,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",132,ZAYN,3
133,gb,What About Us,133,P!nk,3
134,gb,Issues,134,Julia Michaels,1
135,gb,"thank u, next",135,Ariana Grande,3
136,gb,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",136,Major Lazer,0
137,gb,Fine Line (with Not3s),137,Mabel,0
138,gb,Young Dumb & Broke,138,Khalid,3
139,gb,Fairytale of New York (feat. Kirsty MacColl),139,The Pogues,3
140,gb,Too Good At Goodbyes - Edit,140,Sam Smith,2
141,gb,High Hopes,141,Panic! At The Disco,0
142,gb,Look What You Made Me Do,142,Taylor Swift,1
143,gb,Too Good At Goodbyes,143,Sam Smith,2
144,gb,I Would Like,144,Zara Larsson,3
145,gb,Say You Won't Let Go,145,James Arthur,2
146,gb,Big For Your Boots,146,Stormzy,0
147,gb,Ciao Adios,147,Anne-Marie,0
148,gb,Be Alright,148,Dean Lewis,1
149,gb,No Promises (feat. Demi Lovato),149,Cheat Codes,0
150,gb,Butterflies,150,AJ Tracey,1
151,gb,My Lover - Radio Edit,151,Not3s,1
152,gb,Do They Know It's Christmas? - 1984 Version,152,Band Aid,3
153,gb,Thursday,153,Jess Glynne,3
154,gb,How Long,154,Charlie Puth,0
155,gb,Back to You (feat. Bebe Rexha & Digital Farm Animals),155,Louis Tomlinson,1
156,gb,Sun Comes Up (feat. James Arthur),156,Rudimental,3
157,gb,Places,157,Martin Solveig,0
158,gb,Just Hold On,158,Steve Aoki,0
159,gb,Glorious (feat. Skylar Grey),159,Macklemore,0
160,gb,Better,160,Khalid,2
161,gb,What Do I Know?,161,Ed Sheeran,0
162,gb,Perfect Duet (Ed Sheeran & Beyoncé),162,Ed Sheeran,2
163,gb,One Last Time,163,Ariana Grande,3
164,gb,I Feel It Coming,164,The Weeknd,0
165,gb,All I Am,165,Jess Glynne,3
166,gb,Sweet but Psycho,166,Ava Max,0
167,gb,It's Beginning to Look a Lot Like Christmas,167,Michael Bublé,2
168,gb,Flames,168,David Guetta,0
169,gb,Pray For Me (with Kendrick Lamar),169,The Weeknd,3
170,gb,Chained To The Rhythm,170,Katy Perry,3
